Processor,Brand,Ram_GB,Rom_GB,Battery_Capacity,Display_Quality,Android,Version,Price
Snapdragon,Samsung,6,128,5000,LCD,1,12,15990
Snapdragon,Samsung,12,512,4400,AMOLED,1,11,84880
MediaTek,Infinix,4,64,5000,AMOLED,1,11,11999
Snapdragon,vivo,4,128,5000,LCD,1,12,12999
MediaTek,vivo,4,128,5000,LCD,1,14,11990
MediaTek,vivo,4,64,5000,LCD,1,12,8849
Snapdragon,Samsung,8,128,5000,LCD,1,13,25499
MediaTek,Samsung,4,64,5000,LCD,1,12,8999
MediaTek,Samsung,4,64,5000,LCD,1,12,12999
MediaTek,Samsung,4,128,5000,LCD,1,15,11499
Snapdragon,Samsung,8,256,3900,AMOLED,1,13,79999
Snapdragon,Samsung,3,32,5000,LCD,1,10,6999
Snapdragon,Samsung,4,128,5000,LCD,1,13,9999
Snapdragon,Samsung,8,512,4700,AMOLED,1,13,104999
Snapdragon,vivo,8,128,5000,AMOLED,1,14,19999
MediaTek,vivo,12,512,5000,AMOLED,1,14,39830
Snapdragon,Samsung,8,256,3700,AMOLED,1,12,63490
Samsung,Samsung,8,128,6000,AMOLED,1,13,21999
MediaTek,Infinix,4,64,6000,LCD,1,12,8489
MediaTek,vivo,4,128,5000,LCD,1,12,9390
Snapdragon,vivo,8,256,4500,AMOLED,1,13,16769
MediaTek,vivo,8,256,5500,LCD,1,14,18999
Samsung,Samsung,6,128,6000,LCD,1,13,14999
Snapdragon,vivo,12,512,5500,AMOLED,1,14,42999
MediaTek,vivo,6,128,5000,LCD,1,12,11970
Snapdragon,vivo,8,256,5500,AMOLED,1,14,38990
Snapdragon,vivo,12,256,5000,AMOLED,1,14,32990
MediaTek,vivo,8,128,5000,LCD,1,13,15500
Samsung,Samsung,4,64,5000,LCD,1,13,9999
MediaTek,Samsung,4,64,5000,LCD,1,12,7850
Snapdragon,Samsung,8,128,5000,AMOLED,1,11,25749
Samsung,Samsung,4,64,5000,LCD,1,12,8899
Samsung,Samsung,8,256,6000,AMOLED,1,13,20999
MediaTek,Infinix,8,128,5000,LCD,1,13,8999
Snapdragon,Galaxy,12,512,4400,AMOLED,1,13,109999
MediaTek,Infinix,4,64,5000,LCD,1,12,7999
Samsung,Samsung,4,64,6000,AMOLED,1,11,11399
Samsung,Samsung,6,128,6000,LCD,1,11,10899
MediaTek,Samsung,2,32,5000,LCD,1,10,7999
MediaTek,Samsung,6,128,6000,AMOLED,1,14,15999
Snapdragon,Samsung,6,128,5000,LCD,1,13,11999
MediaTek,vivo,12,256,4600,AMOLED,1,13,38699
Snapdragon,Samsung,8,256,3300,AMOLED,1,11,84999
Snapdragon,Samsung,12,512,4000,AMOLED,1,14,76997
Samsung,Samsung,8,128,6000,AMOLED,1,13,19999
MediaTek,Samsung,2,32,5000,LCD,1,9,8999
Snapdragon,Samsung,8,128,5000,LCD,1,12,17899
MediaTek,vivo,12,256,4500,AMOLED,1,12,28499
MediaTek,vivo,3,64,5000,LCD,1,12,10999
MediaTek,Samsung,6,128,5000,LCD,1,11,14990
MediaTek,Samsung,8,128,5000,LCD,1,11,21999
MediaTek,Samsung,6,128,5000,LCD,1,13,10990
Samsung,Samsung,8,128,6000,LCD,1,12,24999
Snapdragon,Galaxy,8,512,3700,AMOLED,1,13,67900
MediaTek,Samsung,4,64,5000,LCD,1,12,7999
MediaTek,Infinix,4,64,5000,AMOLED,1,12,8890
MediaTek,Infinix,6,128,5000,AMOLED,1,11,14499
MediaTek,vivo,4,128,5000,LCD,1,12,13499
Snapdragon,vivo,8,128,4700,AMOLED,1,12,21999
MediaTek,Samsung,8,128,5000,LCD,1,11,21999
